Area,Year,Real GDP (Millions),Real GDP Quality Index,Current-Dollar GDP (Millions),Per Capita Personal Income,PCEPI,PCEPI2012,Real Per Capita Personal Income,Type
United States,1998,12045824.0,74.11,9062817.0,27557.0,75.07041666666667,100.0,36708.2017439182,Nation
United States,1999,12623361.0,77.663,9631172.0,28693.0,76.16416666666667,100.0,37672.571309780404,Nation
United States,2000,13138035.0,80.83,10250952.0,30672.0,78.0905,100.0,39277.504946184235,Nation
United States,2001,13263417.0,81.601,10581929.0,31617.0,79.65616666666666,100.0,39691.84223025211,Nation
United States,2002,13488357.0,82.985,10929108.0,31839.0,80.70208333333333,100.0,39452.513101169425,Nation
United States,2003,13865519.0,85.305,11456450.0,32717.0,82.39758333333333,100.0,39706.26161163708,Nation
United States,2004,14399696.0,88.592,12217196.0,34280.0,84.44275,100.0,40595.5514238937,Nation
United States,2005,14901269.0,91.678,13039197.0,35868.0,86.87583333333333,100.0,41286.51044114684,Nation
United States,2006,15315943.0,94.229,13815583.0,38120.0,89.32233333333333,100.0,42676.89678206645,Nation
United States,2007,15623871.0,96.123,14474228.0,39883.0,91.61441666666667,100.0,43533.54139132032,Nation
United States,2008,15642962.0,96.241,14769862.0,41026.0,94.32566666666666,100.0,43493.99421154369,Nation
United States,2009,15236262.0,93.739,14478067.0,39356.0,94.0625,100.0,41840.2657807309,Nation
United States,2010,15648991.0,96.278,15048970.0,40690.0,95.74708333333334,100.0,42497.378075050154,Nation
United States,2011,15891534.0,97.77,15599731.0,42783.0,98.16941666666666,100.0,43580.78254174544,Nation
United States,2012,16253970.0,100.0,16253970.0,44614.0,100.0,100.0,44614.0,Nation
United States,2013,16553348.0,101.842,16843196.0,44894.0,101.35408333333334,100.0,44294.21935804264,Nation
United States,2014,16932051.0,104.172,17550687.0,47017.0,102.88666666666667,100.0,45697.855245253675,Nation
United States,2015,17390295.0,106.991,18206023.0,48891.0,103.11566666666667,100.0,47413.745728906375,Nation
United States,2016,17680274.0,108.775,18695106.0,49812.0,104.14833333333333,100.0,47827.9377170382,Nation
United States,2017,18079084.0,111.229,19479623.0,51811.0,106.0515,100.0,48854.56594201874,Nation
United States,2018,18606787.0,114.475,20527159.0,54098.0,108.3185,100.0,49943.453795981295,Nation
United States,2019,19032672.0,117.096,21372582.0,56047.0,109.92191666666666,100.0,50988.01194484267,Nation
United States,2020,18384687.0,113.109,20893746.0,59510.0,111.22466666666666,100.0,53504.31858640469,Nation
Alabama,1998,149568.2,79.034,110212.0,22668.0,75.07041666666667,100.0,30195.64964006016,State
Alaska,1998,41095.9,70.51,24227.5,29255.0,75.07041666666667,100.0,38970.07809334569,State
Arizona,1998,183060.5,67.441,143302.6,24173.0,75.07041666666667,100.0,32200.43403693199,State
Arkansas,1998,84570.8,77.951,62396.7,21208.0,75.07041666666667,100.0,28250.808962696134,State
California,1998,1468730.8,69.506,1147520.4,29092.0,75.07041666666667,100.0,38752.948620461895,State
Colorado,1998,200679.7,72.494,150330.0,29901.0,75.07041666666667,100.0,39830.603488946486,State
Connecticut,1998,196391.1,81.52,145475.5,37827.0,75.07041666666667,100.0,50388.69061825286,State
Delaware,1998,50434.3,80.883,37106.0,29472.0,75.07041666666667,100.0,39259.14002963884,State
District of Columbia,1998,81214.4,72.411,54815.3,38122.0,75.07041666666667,100.0,50781.65500169285,State
Florida,1998,587970.7,75.522,429138.4,26883.0,75.07041666666667,100.0,35810.37803395701,State
Georgia,1998,352472.3,78.718,265347.2,26152.0,75.07041666666667,100.0,34836.62561261926,State
Hawaii,1998,54404.8,75.662,37622.9,26756.0,75.07041666666667,100.0,35641.20353667945,State
Idaho,1998,38795.3,66.517,31059.8,22783.0,75.07041666666667,100.0,30348.839145468974,State
Illinois,1998,595615.8,81.996,436567.1,29930.0,75.07041666666667,100.0,39869.23388596262,State
Indiana,1998,245675.7,81.752,184359.8,25790.0,75.07041666666667,100.0,34354.41169124544,State
Iowa,1998,114087.4,71.962,84644.0,25207.0,75.07041666666667,100.0,33577.807502955555,State
Kansas,1998,108183.6,76.283,78382.0,26221.0,75.07041666666667,100.0,34928.539315864546,State
Kentucky,1998,150774.4,84.636,109382.3,22445.0,75.07041666666667,100.0,29898.59520783264,State
Louisiana,1998,207611.6,88.201,120198.1,22312.0,75.07041666666667,100.0,29721.428214620715,State
Maine,1998,44140.2,82.229,32156.2,24805.0,75.07041666666667,100.0,33042.31027535258,State
Maryland,1998,231806.4,69.711,169982.1,31483.0,75.07041666666667,100.0,41937.95825030943,State
Massachusetts,1998,315040.3,71.129,249299.0,32914.0,75.07041666666667,100.0,43844.16853065732,State
Michigan,1998,406051.6,96.063,312688.1,27430.0,75.07041666666667,100.0,36539.027246640646,State
Minnesota,1998,223654.5,74.969,166904.8,29162.0,75.07041666666667,100.0,38846.19440636291,State
Mississippi,1998,85193.8,84.813,60940.4,20174.0,75.07041666666667,100.0,26873.435496672566,State
Missouri,1998,231693.3,85.327,169483.4,25540.0,75.07041666666667,100.0,34021.39102731324,State
Montana,1998,30342.4,71.662,20429.1,21461.0,75.07041666666667,100.0,28587.825874595517,State
Nebraska,1998,72089.6,70.177,51822.1,26421.0,75.07041666666667,100.0,35194.95584701031,State
Nevada,1998,94672.8,73.212,65114.2,29314.0,75.07041666666667,100.0,39048.67097003369,State
New Hampshire,1998,51538.7,75.241,40554.0,30319.0,75.07041666666667,100.0,40387.41403904112,State
